bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
1322,0.10028034,102.89,101.28,103.66
1325,0.08060663,82.7,81.41,84.28
1326,0.06922404,71.02,69.92,73.07
1327,0.08000531,82.09,80.81,83.69
1328,0.06848123,70.26,69.17,72.33
1329,0.10822471,111.04,109.31,111.49
1330,0.06852825,70.31,69.21,72.38
1332,0.0955641,98.05,96.52,99.02
1333,0.06530171,67.0,65.95,69.2
1334,0.0910398,93.41,91.95,94.56
1335,0.10255723,105.22,103.58,105.91
1337,0.07361322,75.53,74.35,77.39
1338,0.07317633,75.08,73.91,76.96
1339,0.06381576,65.47,64.45,67.74
1340,0.09680564,99.32,97.77,100.24
1343,0.07397541,75.9,74.72,77.75
1344,0.06671052,68.44,67.38,70.59
1346,0.070358,72.19,71.06,74.18
1351,0.07786631,79.89,78.64,81.58
1352,0.10104309,103.67,102.05,104.41
1353,0.07957603,81.65,80.37,83.26
1354,0.08972249,92.06,90.62,93.26
1355,0.10066609,103.28,101.67,104.04
1357,0.07240264,74.29,73.13,76.2
1358,0.12688538,130.18,128.15,129.87
1364,0.07366455,75.58,74.4,77.44
1366,0.09545822,97.94,96.41,98.91
1367,0.07242288,74.31,73.15,76.22
1370,0.05622619,57.69,56.79,60.26
1371,0.10988641,112.74,110.99,113.13
1377,0.11052162,113.4,111.63,113.75
1380,0.10418235,106.89,105.22,107.51
1383,0.097082,99.61,98.05,100.51
1384,0.07664686,78.64,77.41,80.38
1385,0.09584341,98.34,96.8,99.29
1386,0.1077838,110.59,108.86,111.05
1392,0.06815111,69.92,68.83,72.01
1393,0.09327516,95.7,94.21,96.76
1394,0.05864444,60.17,59.23,62.64
1395,0.08547093,87.69,86.33,89.07
1398,0.07299064,74.89,73.72,76.78
1402,0.09543158,97.91,96.39,98.89
1404,0.07934416,81.41,80.14,83.04
1406,0.07936684,81.43,80.16,83.06
1408,0.08721392,89.48,88.09,90.79
1411,0.08379847,85.98,84.64,87.42
1412,0.08654476,88.79,87.41,90.13
1425,0.07055046,72.38,71.26,74.37
1428,0.09373679,96.17,94.67,97.22
1429,0.09960144,102.19,100.6,102.99
1430,0.08268922,84.84,83.52,86.33
1437,0.10206038,104.71,103.08,105.42
1438,0.11146341,114.36,112.58,114.68
1439,0.07959065,81.66,80.39,83.28
1440,0.13147262,134.89,132.79,134.39
1443,0.1433952,147.12,144.83,146.14
1444,0.12980181,133.18,131.1,132.75
1445,0.0807039,82.8,81.51,84.38
1446,0.06845546,70.24,69.14,72.31
1447,0.08382739,86.01,84.67,87.45
1450,0.0687331,70.52,69.42,72.58
1455,0.07030907,72.14,71.01,74.13
1457,0.07869145,80.74,79.48,82.39
1461,0.09678073,99.3,97.75,100.21
1463,0.09795712,100.5,98.94,101.37
1465,0.06657537,68.31,67.24,70.46
1466,0.0945823,97.04,95.53,98.05
1471,0.08830514,90.6,89.19,91.86
1473,0.14131769,144.99,142.73,144.09
1478,0.08095506,83.06,81.76,84.62
1479,0.07472575,76.67,75.47,78.49
