weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
63.0,169.0,38.2,89.5,80.1,91.5,109.1,53.2,37.1,37.5,21.7,26.2,16.8,14.1,58.9,26.0,79.2,38.6,39.4,21.6,55.7
88.9,178.9,41.2,105.1,98.9,106.7,113.9,65.1,42.9,41.3,23.2,30.5,16.3,13.0,62.2,28.1,86.6,37.7,43.8,26.2,56.3
71.1,179.9,38.2,92.1,72.9,94.5,116.4,55.2,38.6,36.4,21.9,31.0,17.5,15.5,61.7,29.2,88.8,41.2,45.5,23.3,55.0
83.6,179.5,42.9,104.9,92.3,100.6,119.3,58.2,39.9,38.9,22.1,31.4,18.4,16.1,60.9,26.9,85.9,42.0,45.5,24.6,58.3
84.2,174.1,39.1,101.6,94.2,104.7,117.2,66.5,41.6,40.8,23.8,30.0,17.4,15.6,60.3,25.7,82.3,39.1,40.1,24.5,57.9
76.3,177.5,42.2,98.3,79.2,96.6,118.2,58.9,38.4,36.8,23.1,30.0,17.2,16.3,62.4,27.4,87.9,42.6,42.8,23.0,59.3
69.5,172.4,39.9,95.6,80.9,92.7,109.5,52.5,35.6,36.5,22.5,29.4,16.4,14.6,61.0,27.7,84.5,37.2,44.7,22.4,57.1
74.4,167.1,40.8,105.3,89.2,101.4,118.6,57.2,40.2,37.7,21.6,29.3,16.5,15.8,60.4,26.0,75.3,41.0,40.2,25.5,57.4
81.4,178.5,39.6,101.2,89.4,101.9,118.1,65.0,41.3,38.7,23.3,29.1,17.2,15.5,63.0,27.8,84.7,41.7,40.6,24.5,55.5
72.0,179.5,42.1,90.5,75.7,91.6,116.1,56.8,38.4,37.9,21.9,30.5,17.5,14.6,61.1,27.6,84.8,42.1,44.4,20.7,55.8
64.2,174.1,39.3,92.6,81.5,90.4,106.9,51.4,35.8,32.0,20.2,27.9,16.8,13.7,62.0,26.9,84.8,43.1,43.9,20.4,57.2
68.8,169.6,39.4,91.8,74.3,90.8,113.4,55.6,36.7,35.7,21.7,29.0,17.9,14.6,60.8,28.0,84.2,36.3,43.3,22.6,55.0
88.5,179.0,40.5,103.6,98.5,105.3,120.1,63.0,43.7,43.1,24.3,28.7,17.4,15.6,59.8,28.1,83.0,41.4,41.0,26.3,57.3
81.3,176.1,43.9,100.1,78.4,97.2,119.5,59.5,39.6,38.9,22.4,34.2,18.1,16.1,60.5,27.8,86.3,38.4,43.4,24.1,55.8
54.5,161.4,37.4,84.7,75.1,86.1,100.5,51.1,34.6,33.5,20.2,27.2,14.6,12.1,50.4,21.2,73.4,38.0,39.2,20.2,53.5
102.2,186.0,42.9,110.9,99.4,109.0,127.1,67.3,44.3,43.9,25.9,34.4,18.7,15.8,59.2,27.9,84.6,41.0,42.9,27.0,57.1
66.5,172.6,38.5,88.5,80.1,93.8,108.5,55.6,40.7,36.2,22.9,29.3,17.5,14.3,61.2,28.4,83.9,39.2,42.7,21.3,53.7
71.6,177.4,41.0,95.0,87.5,94.5,110.6,56.1,37.5,37.2,22.2,27.7,16.9,15.3,61.0,27.5,87.2,39.3,43.0,22.6,55.4
72.0,176.3,40.9,96.0,77.4,93.9,110.2,53.9,37.8,35.7,22.6,28.9,17.6,13.5,59.5,27.6,83.5,44.2,43.6,24.1,59.2
86.7,181.5,40.3,100.2,88.6,103.1,125.1,63.7,43.0,38.0,22.0,32.5,18.5,16.3,60.8,27.1,88.5,42.0,42.8,22.7,57.3
85.4,172.8,43.1,106.0,92.6,101.8,121.8,63.1,40.7,40.5,24.3,32.7,18.6,15.5,57.6,25.0,78.6,43.5,37.5,25.7,59.1
77.1,170.3,42.7,97.1,88.4,98.9,119.8,59.3,40.7,36.1,22.0,30.1,17.5,14.7,57.2,26.7,78.9,43.3,42.5,25.5,58.3
88.1,177.0,43.3,93.6,88.1,103.8,121.5,64.4,41.6,40.6,23.3,31.7,17.9,14.2,62.0,28.7,84.3,38.5,43.9,22.6,59.6
78.8,170.4,43.4,104.2,95.3,100.8,119.6,60.7,40.0,37.1,21.7,28.9,17.2,14.2,59.6,28.2,80.1,37.0,42.3,24.2,57.7
83.0,175.7,45.0,102.8,92.8,102.4,120.2,62.5,39.9,39.6,23.7,30.0,17.9,14.9,56.9,25.8,80.7,42.3,41.2,22.8,59.2
81.9,175.0,42.3,101.6,94.9,103.5,117.8,61.2,39.3,38.1,22.7,30.5,17.8,12.9,58.6,26.1,77.7,41.1,40.5,24.5,56.1
67.8,179.8,40.0,89.8,77.7,92.0,112.4,52.6,37.7,34.4,19.9,27.6,16.7,14.5,59.6,27.1,83.5,43.4,44.0,20.5,55.4
91.4,180.7,43.1,107.2,92.5,105.7,121.3,65.8,47.4,41.9,25.2,31.9,19.4,15.4,62.5,28.3,87.8,42.5,43.2,25.8,57.7
54.0,162.3,39.6,89.1,69.4,82.7,108.2,47.1,34.7,33.8,20.6,27.7,16.1,13.5,54.1,23.7,77.8,38.4,38.8,20.5,53.4
73.4,165.4,38.6,99.1,85.4,96.1,116.1,59.3,41.2,37.0,21.9,30.9,17.7,14.4,56.4,24.4,77.2,37.3,39.9,24.8,57.4
79.2,184.7,37.5,91.5,82.6,100.1,115.9,59.9,41.7,40.0,23.5,29.3,16.4,14.7,65.1,30.3,92.3,39.6,47.2,21.6,56.4
69.4,170.3,38.9,94.5,78.5,95.3,111.8,59.8,39.1,36.0,21.9,29.4,16.1,13.1,55.8,25.3,81.5,36.0,42.9,23.5,57.1
