bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2351,118.02,175.22,44.48,125.78,124.46,115.06,132.52,72.31,47.38,44.78,23.08,34.85,20.11,14.54,62.41,26.81,83.39,51.52,41.92,31.96,58.58
SPRING2373,102.08,173.29,43.2,116.76,119.64,113.72,125.68,64.98,44.09,40.85,22.98,31.77,19.16,16.09,58.03,25.1,81.94,50.32,38.93,26.07,55.11
SPRING2376,113.05,177.86,50.66,124.25,120.97,117.89,132.42,69.53,44.37,40.31,22.22,34.32,19.49,16.92,63.7,27.02,85.5,44.71,43.91,30.51,60.17
SPRING2378,126.17,184.17,47.82,123.29,125.09,117.77,134.35,69.67,49.55,43.11,24.36,34.45,21.58,15.07,62.37,27.26,85.54,54.52,45.35,29.49,59.48
SPRING2385,70.89,172.86,38.86,96.93,82.75,94.05,115.95,54.88,37.32,35.91,21.66,29.57,18.07,14.96,57.0,25.77,84.2,46.98,40.76,22.42,57.76
SPRING2387,99.24,187.23,43.51,112.1,98.72,107.19,122.29,65.1,45.13,41.47,22.93,33.32,20.25,16.44,60.2,27.0,91.33,51.36,45.46,26.66,60.62
SPRING2392,90.55,171.56,45.03,104.19,105.3,103.98,113.81,65.79,44.26,41.7,23.78,31.78,17.79,14.02,57.41,26.32,83.41,47.41,38.05,25.94,56.85
SPRING2393,80.75,163.69,40.03,101.79,99.74,102.23,116.0,62.85,45.68,37.38,22.09,30.03,18.76,14.79,53.96,24.27,76.73,48.26,36.91,24.54,59.02
SPRING2395,95.28,195.19,40.91,97.34,92.47,106.78,119.32,64.38,45.03,38.12,23.75,34.26,19.74,16.7,63.76,28.73,96.2,53.31,46.29,24.32,60.94
SPRING2396,78.19,169.99,40.18,101.0,89.39,100.73,112.32,62.88,39.1,37.77,20.45,30.94,18.23,14.0,57.07,26.68,81.55,41.43,40.73,24.43,63.56
SPRING2401,144.08,191.27,51.45,127.07,132.84,124.6,138.63,71.75,50.68,48.24,27.43,36.74,23.81,16.89,65.86,29.81,89.19,54.17,47.65,30.21,62.42
SPRING2403,81.76,173.98,43.62,106.88,96.32,99.88,118.7,55.81,40.18,34.28,19.99,30.87,18.41,15.73,60.11,26.02,85.5,47.23,43.11,25.34,58.65
SPRING2406,95.07,179.13,47.22,114.41,97.18,104.65,128.57,60.79,45.54,40.88,23.23,34.15,20.94,16.54,58.14,26.4,86.6,47.64,41.73,25.66,60.91
SPRING2407,91.52,183.11,45.78,108.94,89.04,101.55,130.56,62.15,41.32,40.53,23.54,33.47,20.18,16.07,63.42,28.05,91.33,47.1,44.21,26.09,58.71
SPRING2409,149.06,185.63,45.05,130.86,131.06,130.04,137.22,82.61,59.82,53.25,29.45,36.99,22.58,15.56,64.08,27.82,86.29,54.26,43.87,31.89,63.72
SPRING2414,74.38,169.53,39.89,100.24,91.74,96.64,117.42,59.68,40.6,34.63,20.09,30.85,18.0,15.51,57.77,26.05,83.0,45.34,40.31,24.2,57.04
SPRING2420,82.58,177.04,41.35,103.31,88.89,101.82,120.57,58.15,40.4,37.56,22.19,31.82,19.3,16.07,57.53,26.42,87.38,44.96,42.02,24.24,60.93
SPRING2421,80.23,169.34,43.86,106.47,89.63,99.82,115.53,57.49,41.06,39.47,21.72,33.4,18.86,12.67,57.43,25.16,82.26,46.26,41.46,24.93,58.24
SPRING2428,92.94,176.29,42.24,106.93,103.37,104.51,115.51,64.52,45.51,36.6,22.99,33.22,19.83,13.44,58.6,26.51,83.01,53.42,41.79,26.71,61.73
SPRING2432,72.19,162.17,41.2,102.14,98.77,99.85,113.16,56.39,36.95,34.35,19.82,30.34,17.68,14.6,53.95,24.58,79.8,40.1,37.25,23.08,57.41
SPRING2435,79.58,164.01,43.18,104.32,96.11,101.58,116.84,59.61,40.68,37.95,21.76,32.04,17.89,15.2,52.98,25.98,76.56,47.12,38.18,25.97,59.62
SPRING2439,91.84,184.2,45.04,110.13,102.38,102.75,117.83,58.52,41.19,40.14,21.7,33.07,19.67,13.25,63.12,28.72,93.38,43.37,45.14,26.3,59.01
SPRING2444,146.2,189.6,51.09,135.11,132.5,126.34,138.96,73.42,52.74,47.1,27.61,38.59,22.8,16.83,61.7,29.21,87.61,55.56,45.6,34.85,58.22
SPRING2446,102.08,172.99,47.43,111.98,113.88,105.96,125.53,67.08,44.88,41.71,23.05,34.27,20.41,14.08,57.64,24.89,79.15,48.62,41.64,27.71,57.63
SPRING2447,94.21,174.41,46.7,111.42,101.58,100.78,122.7,58.64,41.1,37.89,21.33,33.27,20.04,13.12,58.58,24.95,76.85,52.7,40.94,26.84,62.54
