code,weight_kg,stature_cm,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length
P4Q,75.2,160.6,102.6,96.5,109.0,104.1,52.5,23.4,75.2,43.6
P5E,90.8,166.3,111.6,104.9,112.0,115.6,55.1,24.5,77.4,47.1
P5J,107.8,183.5,117.5,108.4,110.9,126.0,63.1,28.9,89.6,50.1
P6H,81.2,162.5,108.4,100.6,109.9,108.3,53.4,23.3,76.0,44.4
P6R,93.9,187.1,107.7,94.8,104.0,122.7,64.4,28.9,92.8,49.9
P7G,58.1,170.1,87.6,74.8,90.1,102.9,57.7,26.4,82.9,42.8
P7K,110.6,182.6,121.5,112.0,111.4,128.9,61.1,27.4,88.1,50.6
P7T,109.1,186.4,118.2,106.4,113.4,126.9,64.1,29.2,91.7,51.1
P8A,110.8,178.6,121.2,113.0,116.0,128.8,59.4,26.8,85.7,49.7
P8F,58.2,152.5,90.1,81.9,98.1,97.3,50.2,21.9,72.4,39.5
P8N,83.9,166.0,111.5,100.8,105.7,114.7,54.6,24.3,78.2,47.5
P9K,59.4,167.0,87.6,75.1,91.9,102.2,55.9,25.0,80.6,42.7
P9W,59.3,167.2,88.2,75.7,91.4,103.4,57.5,25.7,81.0,43.8
P9Y,101.8,183.5,113.2,106.2,109.4,122.8,62.6,28.5,88.6,51.9
Q0F,81.0,162.3,107.5,98.8,109.5,110.6,54.0,24.0,77.3,42.8
Q0J,75.3,161.3,102.4,99.9,107.8,105.2,53.1,23.6,75.4,46.2
Q0Y,97.2,168.4,114.1,107.0,110.4,122.6,56.3,25.6,79.9,47.2
Q0Z,99.7,186.1,112.4,102.2,107.3,123.5,63.8,29.2,91.4,49.2
Q1A,56.4,164.2,84.9,75.4,89.1,99.7,55.6,24.8,81.9,42.3
Q1P,103.3,174.9,118.4,111.2,112.4,123.0,59.2,26.1,82.9,51.3
Q1Q,53.6,163.9,83.0,73.4,91.3,98.0,54.4,23.9,80.5,41.4
Q1R,61.2,174.0,90.8,76.0,88.2,107.4,58.4,26.8,85.1,46.3
Q1Y,99.5,186.7,113.4,102.6,109.7,122.6,65.9,29.1,91.6,50.6
Q2G,79.7,185.2,100.7,86.2,98.2,115.8,63.8,28.7,90.4,48.4
Q2T,109.5,177.5,119.7,112.0,113.4,126.3,58.3,26.4,85.0,50.5
Q2U,62.7,155.8,95.6,83.4,100.6,102.8,50.6,22.2,72.4,41.1
Q3Y,68.9,156.0,101.1,92.1,105.3,101.6,51.1,23.4,72.6,41.7
Q4A,106.9,174.7,119.4,109.5,113.9,125.4,58.0,26.5,80.6,50.4
Q4B,56.3,155.6,86.8,76.5,94.4,99.8,51.7,23.0,74.1,38.9
Q5K,82.4,161.5,105.7,103.0,112.1,109.1,53.0,23.7,75.7,44.9
Q5P,78.9,159.7,104.7,102.1,107.9,110.2,52.2,23.4,72.9,46.1
Q5V,77.2,182.1,100.8,84.2,94.6,115.8,63.4,29.0,91.1,47.2
Q6B,95.5,169.2,116.4,109.6,115.8,117.2,55.5,24.8,79.9,48.1
